State,District,Market,Commodity,Variety,Arrival_Date,Modal_x0020_Price
Kerala,Idukki,Thompramkudi VFPCK,Banana,Nendra Bale,2025-06-11,3100.0
Kerala,Kannur,MANGATTIDOM VFPCK,Banana,Nendra Bale,2025-06-11,5400.0
Kerala,Kannur,Payyannur,Banana,Other,2025-06-11,3100.0
Kerala,Kannur,Taliparamba,Banana,Other,2025-06-11,4800.0
Kerala,Kannur,Taliparamba,Onion,Onion,2025-06-11,2700.0
Kerala,Kannur,Taliparamba,Tomato,Tomato,2025-06-11,2200.0
Kerala,Kannur,Thalasserry,Banana,Other,2025-06-11,4400.0
Kerala,Kannur,Thalasserry,Onion,1st Sort,2025-06-11,2200.0
Kerala,Kannur,Thalasserry,Tomato,Other,2025-06-11,2600.0
Kerala,Kasargod,Kasargod,Banana,Medium,2025-06-11,6100.0
Kerala,Kasargod,Kasargod,Banana,Nendra Bale,2025-06-11,4100.0
Kerala,Kottayam,AYMANAM VFPCK,Banana,Nendra Bale,2025-06-11,4000.0
Kerala,Kottayam,AYMANAM VFPCK,Banana,Palayamthodan,2025-06-11,1500.0
Kerala,Kottayam,AYMANAM VFPCK,Banana,Robusta,2025-06-11,1600.0
Kerala,Kottayam,Athirampuzha,Banana,Banana - Ripe,2025-06-11,3500.0
Kerala,Kottayam,Athirampuzha,Banana,Poovan,2025-06-11,4900.0
Kerala,Kottayam,Athirampuzha,Banana,Robusta,2025-06-11,2100.0
Kerala,Kottayam,Athirampuzha,Coconut,Other,2025-06-11,7900.0
Kerala,Kottayam,Athirampuzha,Onion,Big,2025-06-11,2400.0
Kerala,Kottayam,Athirampuzha,Onion,Onion,2025-06-11,6500.0
Kerala,Kottayam,Athirampuzha,Tomato,Tomato,2025-06-11,3300.0
Kerala,Kottayam,Kuruppanthura,Banana,Palayamthodan,2025-06-11,3000.0
Kerala,Kottayam,Kuruppanthura,Banana,Poovan,2025-06-11,2500.0
Kerala,Kottayam,Kuruppanthura,Coconut,Medium,2025-06-11,8500.0
Kerala,Kottayam,Kuruppanthura,Onion,Big,2025-06-11,3000.0
Kerala,Kottayam,Kuruppanthura,Onion,Onion,2025-06-11,6500.0
Kerala,Kottayam,Pampady,Banana,Medium,2025-06-11,7000.0
Kerala,Kottayam,Pampady,Banana,Palayamthodan,2025-06-11,3000.0
Kerala,Kottayam,Pampady,Coconut,Coconut,2025-06-11,7800.0
Kerala,Kottayam,Pampady,Onion,Big,2025-06-11,4500.0
Kerala,Kozhikode(Calicut),Kallachi,Banana,Nendra Bale,2025-06-11,4000.0
Kerala,Kozhikode(Calicut),Kallachi,Banana,Palayamthodan,2025-06-11,3200.0
Kerala,Kozhikode(Calicut),Kallachi,Banana,Rasakathai,2025-06-11,4000.0
Kerala,Kozhikode(Calicut),Kallachi,Onion,Other,2025-06-11,2400.0
Kerala,Kozhikode(Calicut),Kallachi,Tomato,Tomato,2025-06-11,2800.0
Kerala,Kozhikode(Calicut),Mukkom,Banana,Other,2025-06-11,4100.0
Kerala,Kozhikode(Calicut),Mukkom,Onion,Onion,2025-06-11,2500.0
Kerala,Kozhikode(Calicut),Mukkom,Tomato,Tomato,2025-06-11,2500.0
Kerala,Kozhikode(Calicut),Palayam,Onion,Other,2025-06-11,2200.0
Kerala,Kozhikode(Calicut),Palayam,Tomato,Other,2025-06-11,2142.0
Kerala,Kozhikode(Calicut),Vengeri(Kozhikode),Tomato,Tomato,2025-06-11,2900.0
Kerala,Malappuram,Othayi  VFPCK,Banana,Nendra Bale,2025-06-11,2133.3333333333335
Kerala,Malappuram,VAZHAYUR VFPCK,Banana,Nendra Bale,2025-06-11,2500.0
Kerala,Palakad,AGALI VFPCK,Banana,Nendra Bale,2025-06-11,2800.0
Kerala,Palakad,Alenellur  VFPCK,Banana,Nendra Bale,2025-06-11,3400.0
Kerala,Palakad,vadakarapathy,Onion,Small,2025-06-11,2900.0
Kerala,Palakad,vadakarapathy,Tomato,Other,2025-06-11,2000.0
Kerala,Pathanamthitta,Kuttoor,Banana,Nendra Bale,2025-06-11,6800.0
Kerala,Pathanamthitta,Kuttoor,Banana,Other,2025-06-11,4300.0
Kerala,Pathanamthitta,Kuttoor,Banana,Palayamthodan,2025-06-11,3300.0
Kerala,Pathanamthitta,Mallappally  VFPCK,Banana,Nendra Bale,2025-06-11,4000.0
Kerala,Pathanamthitta,Mezhuveli  VFPCK,Banana,Palayamthodan,2025-06-11,800.0
Kerala,Pathanamthitta,Mezhuveli  VFPCK,Banana,Rasakathai,2025-06-11,2800.0
Kerala,Thirssur,CHAZHUR VFPCK,Banana,Nendra Bale,2025-06-11,3500.0
Kerala,Thirssur,CHAZHUR VFPCK,Banana,Palayamthodan,2025-06-11,1800.0
Kerala,Thirssur,CHAZHUR VFPCK,Banana,Poovan,2025-06-11,3600.0
Kerala,Thirssur,CHAZHUR VFPCK,Banana,Robusta,2025-06-11,1400.0
Kerala,Thirssur,Marottichal  VFPCK,Banana,Nendra Bale,2025-06-11,3210.0
Kerala,Thirssur,Marottichal  VFPCK,Banana,Palayamthodan,2025-06-11,1500.0
Kerala,Thirssur,Marottichal  VFPCK,Banana,Poovan,2025-06-11,3170.0
Kerala,Thirssur,Marottichal  VFPCK,Banana,Robusta,2025-06-11,1500.0
Kerala,Thiruvananthapuram,Kovilnada  VFPCK,Banana,Nendra Bale,2025-06-11,4900.0
Kerala,Thiruvananthapuram,Kovilnada  VFPCK,Banana,Palayamthodan,2025-06-11,2900.0
Kerala,Thiruvananthapuram,Kovilnada  VFPCK,Banana,Rasakathai,2025-06-11,5400.0
Kerala,Thiruvananthapuram,Neyyatinkara,Tomato,Tomato,2025-06-11,4600.0
Kerala,Thiruvananthapuram,Parassala,Banana,Nendra Bale,2025-06-11,5500.0
Kerala,Thiruvananthapuram,Parassala,Banana,Palayamthodan,2025-06-11,2500.0
Kerala,Thiruvananthapuram,Parassala,Banana,Rasakathai,2025-06-11,6000.0
Kerala,Thiruvananthapuram,Parassala,Banana,Red Banana,2025-06-11,6500.0
Kerala,Wayanad,Sultan bathery,Coconut,Other,2025-06-11,8000.0
Madhya Pradesh,Alirajpur,Alirajpur,Maize,Local,2025-06-11,2000.0
Madhya Pradesh,Alirajpur,Jobat,Maize,Local,2025-06-11,1750.0
Madhya Pradesh,Alirajpur,Jobat,Maize,Yellow,2025-06-11,1600.0
Madhya Pradesh,Badwani,Anjad,Maize,Local,2025-06-11,1500.0
Madhya Pradesh,Badwani,Anjad,Maize,Yellow,2025-06-11,1800.0
Madhya Pradesh,Badwani,Badwani,Maize,Yellow,2025-06-11,1700.0
Madhya Pradesh,Badwani,Khetia,Maize,Local,2025-06-11,1325.0
Madhya Pradesh,Badwani,Khetia,Maize,Yellow,2025-06-11,1400.0
Madhya Pradesh,Badwani,Sendhwa,Maize,Local,2025-06-11,1210.0
Madhya Pradesh,Badwani,Sendhwa,Maize,Yellow,2025-06-11,1325.0
Madhya Pradesh,Badwani,Sendhwa(F&V),Onion,Red,2025-06-11,800.0
Madhya Pradesh,Badwani,Sendhwa(F&V),Tomato,Hybrid,2025-06-11,1300.0
Madhya Pradesh,Chhindwara,Chhindwara,Maize,Yellow,2025-06-11,1930.0
Madhya Pradesh,Damoh,Damoh,Maize,Local,2025-06-11,1700.0
Madhya Pradesh,Damoh,Javera,Maize,Local,2025-06-11,1700.0
Madhya Pradesh,Damoh,Javera,Maize,Maize/Corn-Organic,2025-06-11,1590.0
Madhya Pradesh,Dewas,Loharda,Maize,Local,2025-06-11,1425.0
Madhya Pradesh,Dhar,Badnawar,Onion,Onion,2025-06-11,500.0
Madhya Pradesh,Dhar,Gandhwani,Maize,Local,2025-06-11,1751.0
Madhya Pradesh,Dhar,Kukshi,Maize,Local,2025-06-11,1650.0
Madhya Pradesh,Dhar,Manawar,Maize,Local,2025-06-11,1750.0
Madhya Pradesh,Guna,Kumbhraj,Maize,Local,2025-06-11,1600.0
Madhya Pradesh,Guna,Kumbhraj,Maize,Maize/Corn-Organic,2025-06-11,1824.0
Madhya Pradesh,Jabalpur,Jabalpur,Maize,Local,2025-06-11,1650.0
Madhya Pradesh,Khandwa,Harsood,Maize,Local,2025-06-11,1350.0
Madhya Pradesh,Khandwa,Harsood,Maize,Yellow,2025-06-11,1400.0
Madhya Pradesh,Khandwa,Khandwa,Maize,Local,2025-06-11,1560.0
Madhya Pradesh,Khandwa,Pandhana,Maize,Yellow,2025-06-11,1400.0
Madhya Pradesh,Khargone,Bhikangaon,Maize,Local,2025-06-11,1600.0
